Iter,MT,Time,Alt,Temp,Humid,Press,aX,aY,aZ,SysTemp
155,119.706,20,34,25.8143,25.0448,998.146,0.078144,-0.273504,-1.1116,1.4
156,120.452,21,4,26.5586,24.7249,999.306,0.0185592,-0.235409,-0.959218,7.9
157,121.199,21,3,26.5586,24.7021,999.327,0.0136752,-0.614408,-0.967033,15.4
158,121.947,22,5,26.5586,25.2583,999.286,0.132845,-0.29011,-0.853724,15
159,122.696,23,29,26.0205,24.7491,998.378,0.0664224,-0.364347,-0.901587,-7
160,123.544,24,26,26.5586,25.2019,999.165,-0.00879121,-0.224664,-0.962149,-7
161,124.296,25,6,26.5586,25.2072,999.203,-0.043956,0.0009768,-0.918193,8.4
162,125.051,25,5,26.5687,25.0541,999.266,0.0156288,0.102564,-0.945543,12.2
163,125.8,26,5,26.5637,24.8894,999.281,-0.0126984,0.083028,-0.979731,13.1
164,126.55,27,27,26.0809,24.9398,998.455,-0.0107448,-0.193407,-0.913309,1.4
165,127.301,28,6,26.5586,25.1503,999.211,0.0214896,-0.188523,-1.03248,14.5
166,128.053,28,7,26.5687,24.8208,999.219,0.262759,-0.0449328,-1.0149,10.3
167,128.898,29,6,26.5687,24.7356,999.183,0.298901,0.0478632,-0.823443,10.8
168,129.649,210,6,26.5687,25.6215,999.205,0.300855,-0.26862,-0.880098,13.6
169,130.405,211,24,26.1814,25.3731,998.585,0.210989,-0.545055,-0.880098,1.4
170,131.157,211,6,26.5687,24.7358,999.199,0.0644689,-0.794139,-0.632967,14.5
171,131.91,212,6,26.5787,25.4221,999.255,0.114286,-0.884981,-0.365323,16.8
172,132.659,213,7,26.5736,25.025,999.223,-0.133822,-0.889865,-0.121123,13.6
173,133.408,214,27,26.106,24.6379,998.457,-0.120146,-0.745299,0.556776,1.4
174,134.212,215,9,26.5838,24.7016,999.152,-0.103541,-0.522588,0.694505,13.1
175,134.96,215,7,26.5838,25.1211,999.174,0.173871,-0.270574,0.908425,7.9
176,135.711,216,7,26.5889,24.7012,999.166,0.284249,-0.0810745,0.942613,10.3
177,136.459,217,32,26.0406,25.2758,998.292,0.305739,-0.129914,0.867399,4.2
178,137.21,218,7,26.5938,25.2009,999.118,0.449328,-0.102564,0.883028,15.4
179,137.957,218,7,26.5938,24.8543,999.154,0.435653,-0.16801,0.911355,7.5
180,138.799,219,9,26.5988,24.7864,999.097,0.369231,-0.02442,0.905494,12.6
181,139.544,220,32,26.0709,24.4864,998.334,0.384859,-0.0019536,0.954334,0.5
182,140.295,221,9,26.5938,24.7463,999.107,0.256899,0.07326,0.892796,16.8
